ORGKEY|CIFID|STRTEXT2|STRTEXT1|TYPE|CUSTOMERCURRENCY|CREDITDISCOUNTPERCENT|DEBITDISCOUNTPERCENT|WITHHOLDTAXPCNT|WITHHOLDTAXFLOORLMT|DTDATE1|DTDATE2|COUNTRYOFISSUE_CODE|SMALL_STR1|SMALL_STR2|SMALL_STR3|SMALL_STR4|SMALL_STR5|SMALL_STR6|SMALL_STR7|SMALL_STR8|SMALL_STR9|SMALL_STR10|MED_STR1|MED_STR2|MED_STR3|MED_STR4|MED_STR5|MED_STR6|MED_STR7|MED_STR8|MED_STR9|MED_STR10|LARGE_STR1|LARGE_STR2|LARGE_STR3|LARGE_STR4|LARGE_STR5|DATE1|DATE2|DATE3|DATE4|DATE5|DATE6|DATE7|DATE8|DATE9|DATE10|NUMBER1|NUMBER2|NUMBER3|NUMBER4|NUMBER5|NUMBER6|NUMBER7|NUMBER8|NUMBER9|NUMBER10|DECIMAL1|DECIMAL2|DECIMAL3|DECIMAL4|DECIMAL5|DECIMAL6|DECIMAL7|DECIMAL8|DECIMAL9|DECIMAL10|STRTEXT3|STRTEXT4|STRTEXT5|STRTEXT6|STRTEXT7|STRTEXT8|STRTEXT9|STRTEXT10|INTINTEGER1|INTINTEGER2|INTINTEGER3|INTINTEGER4|INTINTEGER5|INTINTEGER6|INTINTEGER7|INTINTEGER8|INTINTEGER9|INTINTEGER10|INTINTEGER11|INTINTEGER12|INTINTEGER13|INTINTEGER14|INTINTEGER15|DTDATE3|DTDATE4|DTDATE5|DBFLOAT1|DBFLOAT2|DBFLOAT3|DBFLOAT4|DBFLOAT5|STRTEXT11|STRTEXT12|STRTEXT13|STRTEXT14|STRTEXT15|STRTEXT16|STRTEXT17|STRTEXT18|STRTEXT19|STRTEXT20|STRTEXT21|STRTEXT22|STRTEXT23|STRTEXT24|STRTEXT25|STRTEXT26|STRTEXT27|EMPLOYERID|EMPLOYEEID|STRTEXT1_CODE|STRTEXT2_CODE|STRTEXT28|BANK_ID
R000103254|R000103254|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103256|R000103256|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103260|R000103260|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103265|R000103265|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103267|R000103267|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103270|R000103270|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103277|R000103277|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103283|R000103283|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103286|R000103286|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
R000103291|R000103291|||CURRENCY|NPR|||||30-12-2099||NEPAL|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||NPR|||||||||||||||||||||||||||||||||||DEF_VALUE|||||||||||01
