Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT|                |01 |017     | 000000000000000.00|20161129  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |028     | 000000000000000.00|20161212  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000000.00|20170116  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000000.00|20170116  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000000.00|20161214  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000000.00|20161218  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |013     | 000000000000000.00|20170301  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |009     | 000000000000000.00|20170528  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |028     | 000000000000000.00|20170622  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |010     | 000000000000000.00|20170622  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |022     | 000000000000000.00|20170924  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000000.00|20170824  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000000.00|20170824  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |015     | 000000000000000.00|20170906  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000000.00|20171017  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |020     | 000000000000000.00|20171016  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |001     | 000000000000000.00|20171115  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000000.00|20171119  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000007212.27|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000009678.60|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000001472.76|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000005954.76|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000004327.44|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000005856.12|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000009579.42|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000863.01|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000813.69|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000702.72|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000813.69|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000021370.05|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000021370.05|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000021370.05|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000021370.05|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000021370.05|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000061230.78|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000097052.04|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000002835.63|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000032054.88|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
INT|                |01 |003     | 000000000000369.90|20171125  |20171126  |20171126  |                 |          |          |          |                                                                                                    |                 |          
