Indicator|foracid|crncy_code|sol_id|nrml_accrued_amount_cr|interest_calc_upto_date_cr|accrued_upto_date_cr|booked_upto_date_cr|nrml_accrued_amount_dr|interest_calc_upto_date_dr|accrued_upto_date_dr|booked_upto_date_dr|Dummy|migr_cumbal_for_avgcalc_cr|migr_cumbal_date
INT||01|003|0.0|20171022|20171126|20171126|||||||
INT||01|003|5085.63|20171125|20171126|20171126|||||||
INT||01|003|7693.14|20171125|20171126|20171126|||||||
INT||01|003|850.68|20171125|20171126|20171126|||||||
INT||01|003|58767.15|20171125|20171126|20171126|||||||
INT||01|003|678.06|20171125|20171126|20171126|||||||
INT||01|003|2219.22|20171125|20171126|20171126|||||||
INT||01|003|1972.62|20171125|20171126|20171126|||||||
INT||01|003|1232.91|20171125|20171126|20171126|||||||
INT||01|003|2342.43|20171125|20171126|20171126|||||||
INT||01|003|28356.12|20171125|20171126|20171126|||||||
INT||01|003|41917.77|20171125|20171126|20171126|||||||
INT||01|003|1482.72|20171125|20171126|20171126|||||||
INT||01|003|15780.78|20171125|20171126|20171126|||||||
INT||01|003|1095.9|20171125|20171126|20171126|||||||
INT||01|003|739.71|20171125|20171126|20171126|||||||
INT||01|003|1479.42|20171125|20171126|20171126|||||||
INT||01|003|2810.97|20171125|20171126|20171126|||||||
INT||01|003|1664.37|20171125|20171126|20171126|||||||
INT||01|003|1972.62|20171125|20171126|20171126|||||||
INT||01|003|2330.1|20171125|20171126|20171126|||||||
INT||01|003|2663.01|20171125|20171126|20171126|||||||
INT||01|003|493.11|20171125|20171126|20171126|||||||
INT||01|003|38465.7|20171125|20171126|20171126|||||||
INT||01|003|2663.01|20171125|20171126|20171126|||||||
INT||01|003|8414.25|20171125|20171126|20171126|||||||
INT||01|003|850.68|20171125|20171126|20171126|||||||
INT||01|003|1417.77|20171125|20171126|20171126|||||||
INT||01|003|1134.27|20171125|20171126|20171126|||||||
INT||01|003|1134.27|20171125|20171126|20171126|||||||
INT||01|003|1417.77|20171125|20171126|20171126|||||||
INT||01|003|7089.03|20171125|20171126|20171126|||||||
INT||01|003|1165.05|20171125|20171126|20171126|||||||
INT||01|003|1276.02|20171125|20171126|20171126|||||||
INT||01|003|283.59|20171125|20171126|20171126|||||||
INT||01|003|2835.63|20171125|20171126|20171126|||||||
INT||01|003|1134.27|20171125|20171126|20171126|||||||
INT||01|003|18123.3|20171125|20171126|20171126|||||||
INT||01|003|5387.67|20171125|20171126|20171126|||||||
INT||01|003|652.23|20171125|20171126|20171126|||||||
INT||01|003|665.73|20171125|20171126|20171126|||||||
INT||01|003|893.88|20171125|20171126|20171126|||||||
INT||01|003|1085.13|20171125|20171126|20171126|||||||
INT||01|003|4487.73|20171125|20171126|20171126|||||||
INT||01|003|1929.24|20171125|20171126|20171126|||||||
INT||01|003|8506.89|20171125|20171126|20171126|||||||
INT||01|003|650.97|20171125|20171126|20171126|||||||
INT||01|003|2835.63|20171125|20171126|20171126|||||||
INT||01|003|468.45|20171125|20171126|20171126|||||||
INT||01|003|60903.96|20171125|20171126|20171126|||||||
INT||01|003|4253.4|20171125|20171126|20171126|||||||
INT||01|003|1035.65|20171125|20171126|20171126|||||||
INT||01|003|15439.71|20171125|20171126|20171126|||||||
INT||01|003|1109.61|20171125|20171126|20171126|||||||
INT||01|003|5769.9|20171125|20171126|20171126|||||||
INT||01|003|8506.89|20171125|20171126|20171126|||||||
INT||01|003|10417.68|20171125|20171126|20171126|||||||
INT||01|003|6306.12|20171125|20171126|20171126|||||||
INT||01|003|1849.32|20171125|20171126|20171126|||||||
INT||01|003|11219.13|20171125|20171126|20171126|||||||
INT||01|003|591.75|20171125|20171126|20171126|||||||
INT||01|003|51287.73|20171125|20171126|20171126|||||||
INT||01|003|30719.13|20171125|20171126|20171126|||||||
INT||01|003|369.9|20171125|20171126|20171126|||||||
INT||01|003|11835.63|20171125|20171126|20171126|||||||
INT||01|003|1356.12|20171125|20171126|20171126|||||||
INT||01|003|2835.63|20171125|20171126|20171126|||||||
INT||01|003|3173.4|20171125|20171126|20171126|||||||
INT||01|003|858.06|20171125|20171126|20171126|||||||
INT||01|003|295.92|20171125|20171126|20171126|||||||
INT||01|003|5326.02|20171125|20171126|20171126|||||||
INT||01|003|2835.63|20171125|20171126|20171126|||||||
INT||01|003|3846.57|20171125|20171126|20171126|||||||
INT||01|003|591.75|20171125|20171126|20171126|||||||
INT||01|003|887.67|20171125|20171126|20171126|||||||
INT||01|003|1775.34|20171125|20171126|20171126|||||||
INT||01|003|1479.42|20171125|20171126|20171126|||||||
INT||01|003|591.75|20171125|20171126|20171126|||||||
INT||01|003|384.66|20171125|20171126|20171126|||||||
INT||01|003|2367.09|20171125|20171126|20171126|||||||
INT||01|003|128219.13|20171125|20171126|20171126|||||||
INT||01|003|2663.01|20171125|20171126|20171126|||||||
INT||01|003|2219.22|20171125|20171126|20171126|||||||
INT||01|003|2071.26|20171125|20171126|20171126|||||||
INT||01|003|271.26|20171125|20171126|20171126|||||||
INT||01|003|7397.28|20171125|20171126|20171126|||||||
INT||01|003|2835.63|20171125|20171126|20171126|||||||
INT||01|003|3846.6|20171125|20171126|20171126|||||||
INT||01|003|12723.3|20171125|20171126|20171126|||||||
INT||01|003|591.75|20171125|20171126|20171126|||||||
INT||01|003|2958.93|20171125|20171126|20171126|||||||
INT||01|003|246.6|20171125|20171126|20171126|||||||
INT||01|003|1134.27|20171125|20171126|20171126|||||||
INT||01|003|425.34|20171125|20171126|20171126|||||||
INT||01|003|271.26|20171125|20171126|20171126|||||||
INT||01|003|3544.56|20171125|20171126|20171126|||||||
INT||01|003|271.26|20171125|20171126|20171126|||||||
INT||01|003|1701.36|20171125|20171126|20171126|||||||
INT||01|003|567.09|20171125|20171126|20171126|||||||
INT||01|003|567.09|20171125|20171126|20171126|||||||
INT||01|003|1984.95|20171125|20171126|20171126|||||||
INT||01|003|2622.96|20171125|20171126|20171126|||||||
INT||01|003|3525.99|20171125|20171126|20171126|||||||
INT||01|003|3507.66|20171125|20171126|20171126|||||||
INT||01|003|3969.9|20171125|20171126|20171126|||||||
INT||01|003|14178.06|20171125|20171126|20171126|||||||
INT||01|003|3365.7|20171125|20171126|20171126|||||||
INT||01|003|3365.7|20171125|20171126|20171126|||||||
INT||01|003|0.0|20171121|20171126|20171126|||||||
INT||01|003|5085.63|20171125|20171126|20171126|||||||
INT||01|003|1035.63|20171125|20171126|20171126|||||||
INT||01|003|2367.09|20171125|20171126|20171126|||||||
INT||01|003|567.09|20171125|20171126|20171126|||||||
INT||01|003|443.88|20171125|20171126|20171126|||||||
INT||01|003|4536.99|20171125|20171126|20171126|||||||
INT||01|003|4253.4|20171125|20171126|20171126|||||||
INT||01|003|23054.76|20171125|20171126|20171126|||||||
INT||01|003|8876.7|20171125|20171126|20171126|||||||
INT||01|003|2773.98|20171125|20171126|20171126|||||||
INT||01|003|5085.63|20171125|20171126|20171126|||||||
INT||01|003|32054.88|20171125|20171126|20171126|||||||
INT||01|003|1417.77|20171125|20171126|20171126|||||||
INT||01|003|3365.7|20171125|20171126|20171126|||||||
INT||01|003|3365.7|20171125|20171126|20171126|||||||
INT||01|003|2884.83|20171125|20171126|20171126|||||||
INT||01|003|2347.38|20171125|20171126|20171126|||||||
INT||01|003|246.6|20171125|20171126|20171126|||||||
INT||01|003|776.7|20171125|20171126|20171126|||||||
INT||01|003|4684.95|20171125|20171126|20171126|||||||
INT||01|003|665.73|20171125|20171126|20171126|||||||
INT||01|003|5856.12|20171125|20171126|20171126|||||||
INT||01|003|5856.12|20171125|20171126|20171126|||||||
INT||01|003|554.76|20171125|20171126|20171126|||||||
INT||01|003|4438.35|20171125|20171126|20171126|||||||
INT||01|003|665.73|20171125|20171126|20171126|||||||
INT||01|003|7397.28|20171125|20171126|20171126|||||||
INT||01|003|7397.28|20171125|20171126|20171126|||||||
INT||01|003|7397.28|20171125|20171126|20171126|||||||
INT||01|003|2938.26|20171125|20171126|20171126|||||||
INT||01|003|480.87|20171125|20171126|20171126|||||||
INT||01|003|2938.26|20171125|20171126|20171126|||||||
INT||01|003|8815.17|20171125|20171126|20171126|||||||
INT||01|003|14794.56|20171125|20171126|20171126|||||||
INT||01|003|15238.35|20171125|20171126|20171126|||||||
INT||01|003|38465.7|20171125|20171126|20171126|||||||
INT||01|003|69238.26|20171125|20171126|20171126|||||||
INT||01|003|22191.75|20171125|20171126|20171126|||||||
INT||01|003|93600.0|20171125|20171126|20171126|||||||
INT||01|003|1134.27|20171125|20171126|20171126|||||||
INT||01|003|1294.56|20171125|20171126|20171126|||||||
INT||01|003|6143.67|20171125|20171126|20171126|||||||
INT||01|003|5178.06|20171125|20171126|20171126|||||||
INT||01|003|0.0|20171119|20171126|20171126|||||||
INT||01|003|0.0|20171017|20171126|20171126|||||||
INT||01|003|7212.27|20171125|20171126|20171126|||||||
INT||01|003|9678.6|20171125|20171126|20171126|||||||
INT||01|003|2835.63|20171125|20171126|20171126|||||||
INT||01|003|1472.76|20171125|20171126|20171126|||||||
INT||01|003|5954.76|20171125|20171126|20171126|||||||
INT||01|003|4327.44|20171125|20171126|20171126|||||||
INT||01|003|5856.12|20171125|20171126|20171126|||||||
INT||01|003|9579.42|20171125|20171126|20171126|||||||
INT||01|003|863.01|20171125|20171126|20171126|||||||
INT||01|003|813.69|20171125|20171126|20171126|||||||
INT||01|003|702.72|20171125|20171126|20171126|||||||
INT||01|003|813.69|20171125|20171126|20171126|||||||
INT||01|003|61230.78|20171125|20171126|20171126|||||||
INT||01|003|97052.04|20171125|20171126|20171126|||||||
INT||01|003|2835.63|20171125|20171126|20171126|||||||
INT||01|003|32054.88|20171125|20171126|20171126|||||||
INT||01|003|369.9|20171125|20171126|20171126|||||||
INT||01|003|9863.01|20171125|20171126|20171126|||||||
INT||01|003|5424.66|20171125|20171126|20171126|||||||
INT||01|003|1775.34|20171125|20171126|20171126|||||||
INT||01|003|1254.6|20171125|20171126|20171126|||||||
INT||01|003|1232.91|20171125|20171126|20171126|||||||
INT||01|003|2589.03|20171125|20171126|20171126|||||||
INT||01|003|665.73|20171125|20171126|20171126|||||||
INT||01|003|543.69|20171125|20171126|20171126|||||||
INT||01|003|8506.89|20171125|20171126|20171126|||||||
INT||01|003|1417.77|20171125|20171126|20171126|||||||
INT||01|003|8876.7|20171125|20171126|20171126|||||||
INT||01|003|3698.64|20171125|20171126|20171126|||||||
